"Sensor_ID","Year","Month","Day","Mdate","Time","Hourly_Counts"
7,2013,1,"Tuesday",1,19,95
5,2013,1,"Tuesday",1,19,1077
6,2013,1,"Tuesday",1,19,831
14,2013,1,"Tuesday",1,19,329
4,2013,1,"Tuesday",1,20,1084
17,2013,1,"Tuesday",1,20,148
18,2013,1,"Tuesday",1,20,63
16,2013,1,"Tuesday",1,20,256
2,2013,1,"Tuesday",1,20,303
1,2013,1,"Tuesday",1,20,584
13,2013,1,"Tuesday",1,20,28
3,2013,1,"Tuesday",1,20,1686
9,2013,1,"Tuesday",1,20,67
10,2013,1,"Tuesday",1,20,92
12,2013,1,"Tuesday",1,20,342
11,2013,1,"Tuesday",1,20,207
8,2013,1,"Tuesday",1,20,60
7,2013,1,"Tuesday",1,20,96
5,2013,1,"Tuesday",1,20,989
6,2013,1,"Tuesday",1,20,721
14,2013,1,"Tuesday",1,20,318
4,2013,1,"Tuesday",1,21,990
17,2013,1,"Tuesday",1,21,133
18,2013,1,"Tuesday",1,21,42
16,2013,1,"Tuesday",1,21,141
2,2013,1,"Tuesday",1,21,291
1,2013,1,"Tuesday",1,21,398
13,2013,1,"Tuesday",1,21,31
3,2013,1,"Tuesday",1,21,1301
9,2013,1,"Tuesday",1,21,63
10,2013,1,"Tuesday",1,21,67
12,2013,1,"Tuesday",1,21,168
11,2013,1,"Tuesday",1,21,77
8,2013,1,"Tuesday",1,21,52
7,2013,1,"Tuesday",1,21,55
5,2013,1,"Tuesday",1,21,959
6,2013,1,"Tuesday",1,21,597
14,2013,1,"Tuesday",1,21,269
4,2013,1,"Tuesday",1,22,774
17,2013,1,"Tuesday",1,22,62
18,2013,1,"Tuesday",1,22,28
16,2013,1,"Tuesday",1,22,103
2,2013,1,"Tuesday",1,22,173
1,2013,1,"Tuesday",1,22,311
13,2013,1,"Tuesday",1,22,25
3,2013,1,"Tuesday",1,22,922
9,2013,1,"Tuesday",1,22,47
10,2013,1,"Tuesday",1,22,52
12,2013,1,"Tuesday",1,22,108
11,2013,1,"Tuesday",1,22,56
8,2013,1,"Tuesday",1,22,28
7,2013,1,"Tuesday",1,22,21
5,2013,1,"Tuesday",1,22,1149
6,2013,1,"Tuesday",1,22,614
14,2013,1,"Tuesday",1,22,243
4,2013,1,"Tuesday",1,23,698
17,2013,1,"Tuesday",1,23,85
18,2013,1,"Tuesday",1,23,13
16,2013,1,"Tuesday",1,23,92
2,2013,1,"Tuesday",1,23,126
1,2013,1,"Tuesday",1,23,146
13,2013,1,"Tuesday",1,23,19
3,2013,1,"Tuesday",1,23,562
9,2013,1,"Tuesday",1,23,25
10,2013,1,"Tuesday",1,23,54
12,2013,1,"Tuesday",1,23,34
11,2013,1,"Tuesday",1,23,15
8,2013,1,"Tuesday",1,23,23
7,2013,1,"Tuesday",1,23,23
5,2013,1,"Tuesday",1,23,794
6,2013,1,"Tuesday",1,23,444
14,2013,1,"Tuesday",1,23,225
4,2013,1,"Wednesday",2,0,352
17,2013,1,"Wednesday",2,0,26
18,2013,1,"Wednesday",2,0,11
16,2013,1,"Wednesday",2,0,51
2,2013,1,"Wednesday",2,0,86
1,2013,1,"Wednesday",2,0,66
13,2013,1,"Wednesday",2,0,24
3,2013,1,"Wednesday",2,0,214
9,2013,1,"Wednesday",2,0,9
10,2013,1,"Wednesday",2,0,22
12,2013,1,"Wednesday",2,0,32
11,2013,1,"Wednesday",2,0,5
8,2013,1,"Wednesday",2,0,5
7,2013,1,"Wednesday",2,0,10
5,2013,1,"Wednesday",2,0,195
6,2013,1,"Wednesday",2,0,195
14,2013,1,"Wednesday",2,0,100
4,2013,1,"Wednesday",2,1,280
17,2013,1,"Wednesday",2,1,23
18,2013,1,"Wednesday",2,1,0
16,2013,1,"Wednesday",2,1,23
2,2013,1,"Wednesday",2,1,21
1,2013,1,"Wednesday",2,1,23
13,2013,1,"Wednesday",2,1,7
3,2013,1,"Wednesday",2,1,93
9,2013,1,"Wednesday",2,1,8
10,2013,1,"Wednesday",2,1,39
12,2013,1,"Wednesday",2,1,6
11,2013,1,"Wednesday",2,1,8
8,2013,1,"Wednesday",2,1,4
7,2013,1,"Wednesday",2,1,3
5,2013,1,"Wednesday",2,1,34
6,2013,1,"Wednesday",2,1,98
14,2013,1,"Wednesday",2,1,52
4,2013,1,"Wednesday",2,2,125
17,2013,1,"Wednesday",2,2,3
18,2013,1,"Wednesday",2,2,1
16,2013,1,"Wednesday",2,2,12
2,2013,1,"Wednesday",2,2,14
1,2013,1,"Wednesday",2,2,15
13,2013,1,"Wednesday",2,2,5
3,2013,1,"Wednesday",2,2,33
9,2013,1,"Wednesday",2,2,4
10,2013,1,"Wednesday",2,2,6
12,2013,1,"Wednesday",2,2,7
11,2013,1,"Wednesday",2,2,3
8,2013,1,"Wednesday",2,2,3
7,2013,1,"Wednesday",2,2,23
5,2013,1,"Wednesday",2,2,28
6,2013,1,"Wednesday",2,2,30
14,2013,1,"Wednesday",2,2,15
4,2013,1,"Wednesday",2,3,50
17,2013,1,"Wednesday",2,3,3
18,2013,1,"Wednesday",2,3,4
16,2013,1,"Wednesday",2,3,16
2,2013,1,"Wednesday",2,3,40
1,2013,1,"Wednesday",2,3,7
13,2013,1,"Wednesday",2,3,3
3,2013,1,"Wednesday",2,3,40
9,2013,1,"Wednesday",2,3,3
10,2013,1,"Wednesday",2,3,2
12,2013,1,"Wednesday",2,3,0
11,2013,1,"Wednesday",2,3,0
8,2013,1,"Wednesday",2,3,2
7,2013,1,"Wednesday",2,3,14
